  id   |                                                                                                                 text                                                                                                                  | c  
-------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----
  1043 | music                                                                                                                                                                                                                                 | 62
   914 |                                                                                                                                                                                                                                       | 51
   490 | art                                                                                                                                                                                                                                   | 38
  3201 | English                                                                                                                                                                                                                               | 29
    63 | information technology                                                                                                                                                                                                                | 25
  3315 | Math and Sciences                                                                                                                                                                                                                     | 19
  4218 | French                                                                                                                                                                                                                                | 17
   989 | environmental studies                                                                                                                                                                                                                 | 14
   207 | political theory                                                                                                                                                                                                                      | 13
   784 | Race                                                                                                                                                                                                                                  | 12
   857 | political philosophy                                                                                                                                                                                                                  | 12
  3388 | Marketing Strategy                                                                                                                                                                                                                    | 12
  1032 |  civic engagement                                                                                                                                                                                                                     |  9
  3194 | Global Strategy                                                                                                                                                                                                                       |  9
   338 | directing                                                                                                                                                                                                                             |  8
  3163 | Financial Reporting                                                                                                                                                                                                                   |  8
   994 |  Theatre Studies                                                                                                                                                                                                                      |  8
  3157 | Business Law                                                                                                                                                                                                                          |  7
  1208 |  human-computer interaction                                                                                                                                                                                                           |  7
  3849 | introductory biology                                                                                                                                                                                                                  |  6
   194 | political sociology                                                                                                                                                                                                                   |  6
  1399 |  religion and politics                                                                                                                                                                                                                |  6
  1132 |  labor economics                                                                                                                                                                                                                      |  6
  3869 | science writing                                                                                                                                                                                                                       |  5
  3971 | Classical Studies                                                                                                                                                                                                                     |  5
  1773 |  biophysical chemistry                                                                                                                                                                                                                |  5
   720 | translation studies                                                                                                                                                                                                                   |  5
  1783 | social media                                                                                                                                                                                                                          |  5
  3330 | Corporate Innovation                                                                                                                                                                                                                  |  5
  1272 |  classics                                                                                                                                                                                                                             |  5
   142 | demography                                                                                                                                                                                                                            |  4
   468 | plant ecology                                                                                                                                                                                                                         |  4
  2512 |  Theatre History                                                                                                                                                                                                                      |  4
  3271 | International Finance                                                                                                                                                                                                                 |  4
  1182 |  environmental geology                                                                                                                                                                                                                |  4
  1779 |  feminist studies                                                                                                                                                                                                                     |  4
  3457 | Management Issues                                                                                                                                                                                                                     |  4
  3694 | Africana Studies                                                                                                                                                                                                                      |  4
  4822 | Russian                                                                                                                                                                                                                               |  4
   761 | environmental politics                                                                                                                                                                                                                |  4
  3567 | Retail                                                                                                                                                                                                                                |  3
    87 | war                                                                                                                                                                                                                                   |  3
  2891 |  Historical Fiction                                                                                                                                                                                                                   |  3
  1824 |  intersectionality                                                                                                                                                                                                                    |  3
   843 | sociolinguistics                                                                                                                                                                                                                      |  3
   301 | urban geography                                                                                                                                                                                                                       |  3
   662 | French film                                                                                                                                                                                                                           |  3
  3964 | Cinema and Media Studies                                                                                                                                                                                                              |  3
 10976 | Urban                                                                                                                                                                                                                                 |  3
  2617 |  aging                                                                                                                                                                                                                                |  3
  1383 |  economic education                                                                                                                                                                                                                   |  3
  2696 |  HCI                                                                                                                                                                                                                                  |  3
   285 | learning and teaching                                                                                                                                                                                                                 |  3
  4420 | composing                                                                                                                                                                                                                             |  3
 12088 | human physiology                                                                                                                                                                                                                      |  3
 12443 | travel writing                                                                                                                                                                                                                        |  3
  1169 |  Paris                                                                                                                                                                                                                                |  3
 10367 | expository writing                                                                                                                                                                                                                    |  3
 11215 | dance history                                                                                                                                                                                                                         |  3
   132 | philosophy and literature                                                                                                                                                                                                             |  3
  2483 |  book history                                                                                                                                                                                                                         |  3
  3410 | Market Structure and Trading Costs                                                                                                                                                                                                    |  3
  3032 |  open access                                                                                                                                                                                                                          |  3
